CSC,minH (sim),H (sim),mean R (sim),std R (sim),minH (norm),H (norm),mean R (norm),std R (norm)
112.0,0.9712045604463401,0.9997068060390559,112.00964,0.9466081926541732,0.9481634088021456,0.9990343793854168,112.00000000000036,0.848129197705165
113.0,0.9658406410378394,0.999585848029827,113.0201,0.9516806134412953,0.9528285347196703,0.9992030056398591,112.99999999999952,0.8595133879120155
114.0,0.9646294638416195,0.9995555809197606,114.00799,0.9631231281097968,0.9571524161420452,0.9993444394242934,114.0000000000007,0.8709480627454279
115.0,0.9841313854158892,0.9999117603754322,115.01453,0.9766160346318301,0.9611515820440871,0.9994626448194156,115.00000000000041,0.8824330002895452
116.0,0.9821065899640199,0.9998876469185396,116.01064,0.9854373599574963,0.9648426317079464,0.999561085033311,115.99999999999939,0.8939679815295329
117.0,0.9748861350904277,0.9997775584626225,117.02236,0.9982985677641733,0.9682421293050165,0.999642773065393,116.99999999999942,0.9055527902888862
118.0,0.9840172368615111,0.9999104792096158,118.01625,1.0083282885548734,0.97136650664107,0.9997103193677255,118.00000000000041,0.9171872131686141
119.0,0.9869880385102713,0.999940788388605,119.01577,1.016061665008576,0.9742319745075066,0.9997659763435596,119.00000000000082,0.9288710394882693
120.0,0.9896784597526905,0.9999628124845656,120.01289,1.0284570228745584,0.9768544429210844,0.9998116795933869,119.99999999999987,0.940604061228739
121.0,0.9842455430026147,0.9999130323068703,121.01577,1.0403947842525931,0.9792494503847622,0.9998490858814486,121.00000000000048,0.9523860729767162
122.0,0.9882181405400853,0.9999514960491492,122.01414,1.0529672646383648,0.9814321021653295,0.99987960785005,121.99999999999936,0.9642168718706312
123.0,0.9851591290325592,0.9999228753227036,123.01403,1.05837288282533,0.9834170174607637,0.99990359260243,123.0000000000007,0.9760962575484122
124.0,0.9960524213044182,0.9999945844045792,124.01015,1.069264690102502,0.9852182852223361,0.9999234976472628,123.99999999999947,0.9880240320963796
125.0,0.9895065807515474,0.9999615590492116,125.01441,1.0828030069684884,0.9868494283043836,0.9999409733497631,125.00000000000094,1.0000000000000113
126.0,0.9912262929339842,0.9999731584923008,126.01927,1.0918876623078033,0.9883233755374274,0.9999523739680861,126.00000000000087,1.0120239680956282
127.0,0.9961099725666281,0.9999947413701867,127.01635,1.1051256387850208,0.989652441258663,0.9999626410496297,126.99999999999937,1.024095745523818
128.0,0.9931490639284322,0.9999836559347008,128.01976,1.1182439547790992,0.9908483117859169,0.9999708123259035,127.99999999999905,1.036215143683963
129.0,0.9951031567851526,0.9999916612065974,129.0191,1.1290062843049193,0.991922038287013,0.9999772914524807,128.99999999999935,1.0483819761899684
130.0,0.9981257144686495,0.9999987809223472,130.01781,1.1420651487108782,0.9928840354744581,0.9999824105372954,129.99999999999935,1.0605960588272914
131.0,0.9983274436478123,0.9999990293545589,131.02066,1.154466614675366,0.9937440855444547,0.9999864417373096,131.00000000000057,1.072857209511133
132.0,0.9987598154677804,0.9999994664913081,132.01311,1.1612829663350792,0.9945113467781675,0.999989607242662,132.0000000000009,1.0851652482456413
133.0,0.9999422933524896,0.9999999988458439,133.01484,1.1776755811342954,0.9951943662307581,0.9999920878277054,132.9999999999998,1.0975199970843332
134.0,0.9983274436478127,0.9999990293545589,134.02266,1.1924707645892205,0.9958010959484691,0.9999940301375736,134.00000000000057,1.109921280091528
135.0,0.9960524213044178,0.9999945844045791,135.01859,1.2049167655485586,0.9963375455499138,0.9999953409189088,134.99999999999932,1.1223689233046241
136.0,0.9945856392775406,0.9999898018532655,136.01054,1.2061877583527367,0.9968146370343253,0.9999967519746471,135.99999999999972,1.1348627546976735
